property_id,area_sqm,bedrooms,age_years,distance_km,price_thousands
p001,197.4,5,38,9.00,648.4
p002,167.8,4,46,18.39,526.1
p003,116.2,3,1,13.08,409.3
p004,48.9,3,18,0.66,208.3
p005,184.2,5,36,10.00,605.5
p006,190.0,5,26,0.50,663.8
p007,70.0,2,15,13.31,233.7
p008,61.1,3,46,14.60,148.6
p009,200.0,3,17,2.83,710.3
p010,55.1,2,12,5.95,214.9
p011,108.6,2,17,12.72,361.3
p012,168.1,2,3,13.88,545.7
p013,88.4,3,12,21.45,249.4
p014,163.8,2,58,21.99,435.6
p015,199.6,5,23,17.80,632.2
p016,69.2,3,52,2.23,226.7
p017,105.7,2,25,0.87,390.8
p018,174.1,1,6,2.84,626.9
p019,62.9,1,20,2.05,246.6
p020,206.2,5,20,16.39,650.3
p021,95.5,4,28,19.06,287.7
p022,156.5,3,35,1.75,552.3
p023,160.9,3,28,15.94,484.2
p024,113.6,5,9,16.11,399.4
p025,149.2,4,21,11.02,526.2
p026,99.2,2,47,16.96,263.3
p027,48.6,5,31,10.97,186.9
p028,68.0,2,28,16.12,194.4
p029,110.3,1,39,10.74,308.7
p030,72.7,2,37,13.70,195.3
p031,188.4,1,49,15.62,523.3
p032,98.8,3,57,20.15,258.8
p033,70.1,2,23,19.20,204.7
p034,65.0,4,31,12.22,246.3
p035,135.3,5,6,3.39,524.4
p036,152.9,3,44,20.95,430.2
p037,202.2,5,4,4.40,745.5
p038,146.9,5,22,21.74,465.6
p039,186.8,5,43,2.76,661.6
p040,94.6,2,31,0.26,350.1
p041,103.0,1,47,11.31,281.5
p042,141.3,2,36,18.51,372.9
p043,62.7,5,24,9.22,214.2
p044,200.6,2,26,16.81,614.4
p045,111.0,5,2,7.94,418.8
p046,118.9,2,7,11.77,399.6
p047,60.6,4,29,7.25,231.6
p048,170.4,3,9,8.34,586.0
p049,152.5,2,53,17.26,406.0
p050,67.6,2,21,21.76,149.5
p051,65.4,1,43,14.36,174.8
p052,115.7,5,52,11.59,354.2
p053,71.1,2,50,7.26,223.7
p054,58.1,3,11,13.71,181.5
