timestamp,sensor_id,temperature_c,humidity_pct
2026-03-01T00:00:00,s-01,13.20,59.8
2026-03-01T00:00:00,s-02,13.46,60.3
2026-03-01T00:00:00,s-03,13.60,54.7
2026-03-01T01:00:00,s-01,12.28,58.6
2026-03-01T01:00:00,s-02,11.63,59.5
2026-03-01T01:00:00,s-03,11.97,62.3
2026-03-01T02:00:00,s-01,12.06,60.1
2026-03-01T02:00:00,s-02,13.15,62.2
2026-03-01T02:00:00,s-03,11.04,66.3
2026-03-01T03:00:00,s-01,12.97,57.1
2026-03-01T03:00:00,s-02,13.04,56.0
2026-03-01T03:00:00,s-03,14.14,61.7
2026-03-01T04:00:00,s-01,12.90,61.3
2026-03-01T04:00:00,s-02,12.69,53.6
2026-03-01T04:00:00,s-03,12.37,59.8
2026-03-01T05:00:00,s-01,13.63,59.2
2026-03-01T05:00:00,s-02,13.98,62.1
2026-03-01T05:00:00,s-03,12.68,64.3
2026-03-01T06:00:00,s-01,13.96,60.0
2026-03-01T06:00:00,s-02,14.33,58.6
2026-03-01T06:00:00,s-03,15.74,54.8
2026-03-01T07:00:00,s-01,16.58,60.5
2026-03-01T07:00:00,s-02,14.84,57.2
2026-03-01T07:00:00,s-03,15.62,57.3
2026-03-01T08:00:00,s-01,17.95,53.8
2026-03-01T08:00:00,s-02,16.93,59.3
2026-03-01T08:00:00,s-03,18.50,57.5
2026-03-01T09:00:00,s-01,20.99,51.7
2026-03-01T09:00:00,s-02,19.48,55.7
2026-03-01T09:00:00,s-03,19.38,53.4
2026-03-01T10:00:00,s-01,20.58,52.9
2026-03-01T10:00:00,s-02,19.84,56.6
2026-03-01T10:00:00,s-03,19.49,53.6
2026-03-01T11:00:00,s-01,,50.7
2026-03-01T11:00:00,s-02,20.99,52.2
2026-03-01T11:00:00,s-03,21.05,
2026-03-01T12:00:00,s-01,24.05,52.1
2026-03-01T12:00:00,s-02,22.61,48.1
2026-03-01T12:00:00,s-03,24.34,
2026-03-01T13:00:00,s-01,22.83,43.3
2026-03-01T13:00:00,s-02,23.72,48.2
2026-03-01T13:00:00,s-03,23.57,45.4
2026-03-01T14:00:00,s-01,23.16,47.1
2026-03-01T14:00:00,s-02,23.25,48.8
2026-03-01T14:00:00,s-03,23.78,52.3
2026-03-01T15:00:00,s-01,23.60,52.4
2026-03-01T15:00:00,s-02,23.45,53.4
2026-03-01T15:00:00,s-03,23.91,57.6
2026-03-01T16:00:00,s-01,24.38,52.1
2026-03-01T16:00:00,s-02,23.63,49.3
2026-03-01T16:00:00,s-03,23.74,53.9
2026-03-01T17:00:00,s-01,20.31,53.1
2026-03-01T17:00:00,s-02,21.40,47.9
2026-03-01T17:00:00,s-03,22.29,53.9
2026-03-01T18:00:00,s-01,20.63,55.4
2026-03-01T18:00:00,s-02,21.83,50.8
2026-03-01T18:00:00,s-03,22.61,52.6
2026-03-01T19:00:00,s-01,19.14,55.7
2026-03-01T19:00:00,s-02,19.86,53.0
2026-03-01T19:00:00,s-03,19.37,49.3
2026-03-01T20:00:00,s-01,18.85,58.3
2026-03-01T20:00:00,s-02,17.41,55.8
2026-03-01T20:00:00,s-03,17.22,53.6
2026-03-01T21:00:00,s-01,15.51,60.5
2026-03-01T21:00:00,s-02,17.72,56.4
2026-03-01T21:00:00,s-03,17.45,51.4
2026-03-01T22:00:00,s-01,15.45,60.3
2026-03-01T22:00:00,s-02,14.75,58.1
2026-03-01T22:00:00,s-03,14.26,61.3
2026-03-01T23:00:00,s-01,13.09,63.1
2026-03-01T23:00:00,s-02,14.35,57.7
2026-03-01T23:00:00,s-03,13.88,58.6
2026-03-02T00:00:00,s-01,13.25,57.3
2026-03-02T00:00:00,s-02,13.68,52.1
2026-03-02T00:00:00,s-03,12.84,63.5
2026-03-02T01:00:00,s-01,11.39,61.2
2026-03-02T01:00:00,s-02,13.95,60.3
2026-03-02T01:00:00,s-03,14.26,61.4
2026-03-02T02:00:00,s-01,12.95,59.4
2026-03-02T02:00:00,s-02,13.68,57.9
2026-03-02T02:00:00,s-03,11.14,62.8
2026-03-02T03:00:00,s-01,11.97,53.5
2026-03-02T03:00:00,s-02,11.78,58.2
2026-03-02T03:00:00,s-03,12.23,65.7
2026-03-02T04:00:00,s-01,12.47,57.4
2026-03-02T04:00:00,s-02,13.26,63.2
2026-03-02T04:00:00,s-03,12.95,57.4
2026-03-02T05:00:00,s-01,13.23,60.8
2026-03-02T05:00:00,s-02,13.71,58.9
2026-03-02T05:00:00,s-03,13.05,63.3
2026-03-02T06:00:00,s-01,15.37,52.4
2026-03-02T06:00:00,s-02,21.50,48.0
2026-03-02T06:00:00,s-03,15.33,56.6
2026-03-02T07:00:00,s-01,16.40,59.1
2026-03-02T07:00:00,s-02,21.50,48.0
2026-03-02T07:00:00,s-03,14.87,60.1
2026-03-02T08:00:00,s-01,18.49,50.9
2026-03-02T08:00:00,s-02,21.50,48.0
2026-03-02T08:00:00,s-03,16.97,59.7
2026-03-02T09:00:00,s-01,18.78,53.2
2026-03-02T09:00:00,s-02,21.50,48.0
2026-03-02T09:00:00,s-03,19.43,55.3
2026-03-02T10:00:00,s-01,22.07,53.6
2026-03-02T10:00:00,s-02,21.50,48.0
2026-03-02T10:00:00,s-03,21.22,57.8
2026-03-02T11:00:00,s-01,21.10,53.7
2026-03-02T11:00:00,s-02,21.50,48.0
2026-03-02T11:00:00,s-03,21.97,49.3
2026-03-02T12:00:00,s-01,24.82,49.6
2026-03-02T12:00:00,s-02,23.08,53.4
2026-03-02T12:00:00,s-03,23.86,52.5
2026-03-02T13:00:00,s-01,24.72,44.8
2026-03-02T13:00:00,s-02,23.03,54.7
2026-03-02T13:00:00,s-03,25.13,50.7
2026-03-02T14:00:00,s-01,24.48,53.6
2026-03-02T14:00:00,s-02,23.87,49.2
2026-03-02T14:00:00,s-03,24.12,50.1
